Row,Fro,Spec,Abs,TPR,FPR,MCC,PD,Depth,Time
BLOC-SCAD,1.685 (0.1734),1.027 (0.1487),0.031 (0.0029),0.990 (0.010),0.051 (0.006),0.882 (0.013),1.000 (0.000),0.461 (0.0027),21.0 (1.75)
BLOC-MCP,1.648 (0.1776),1.021 (0.1468),0.030 (0.0030),0.990 (0.010),0.044 (0.006),0.896 (0.014),1.000 (0.000),0.461 (0.0027),20.4 (1.49)
fmincon_active_set-SCAD,7.156 (0.0001),3.200 (0.0001),0.160 (0.0000),0.200 (0.133),0.188 (0.125),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.01)
fmincon_active_set-MCP,7.156 (0.0001),3.200 (0.0001),0.160 (0.0000),0.200 (0.133),0.188 (0.125),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.01)
fmincon_interior_point-SCAD,7.155 (0.0000),3.200 (0.0000),0.160 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.00)
fmincon_interior_point-MCP,7.155 (0.0000),3.200 (0.0000),0.160 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.00)
fmincon_SQP-SCAD,7.155 (0.0004),3.200 (0.0001),0.160 (0.0000),0.200 (0.133),0.188 (0.125),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.02)
fmincon_SQP-MCP,7.155 (0.0004),3.200 (0.0001),0.160 (0.0000),0.200 (0.133),0.188 (0.125),NaN (NaN),1.000 (0.000),0.417 (0.0010),0.1 (0.02)
Manopt_BB-SCAD,7.155 (0.0000),3.200 (0.0004),0.160 (0.0001),0.110 (0.099),0.104 (0.093),NaN (NaN),1.000 (0.000),0.417 (0.0010),7.1 (5.64)
Manopt_BB-MCP,7.156 (0.0001),3.201 (0.0006),0.160 (0.0001),0.138 (0.103),0.131 (0.097),NaN (NaN),1.000 (0.000),0.417 (0.0010),7.6 (5.70)
Manopt_CG-SCAD,7.146 (0.0052),3.217 (0.0087),0.167 (0.0036),0.865 (0.098),0.816 (0.092),NaN (NaN),1.000 (0.000),0.417 (0.0010),5.1 (1.84)
Manopt_CG-MCP,7.157 (0.0034),3.240 (0.0171),0.173 (0.0058),0.730 (0.120),0.679 (0.119),NaN (NaN),1.000 (0.000),0.417 (0.0010),3.5 (0.66)
Manopt_SD-SCAD,7.174 (0.0179),3.259 (0.0500),0.170 (0.0083),0.497 (0.166),0.466 (0.155),NaN (NaN),1.000 (0.000),0.417 (0.0010),2.1 (1.04)
Manopt_SD-MCP,7.157 (0.0030),3.217 (0.0093),0.164 (0.0028),0.500 (0.167),0.461 (0.154),NaN (NaN),1.000 (0.000),0.417 (0.0010),1.5 (0.50)
Manopt_TR-SCAD,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
Manopt_TR-MCP,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
