Row,Fro,Spec,Abs,TPR,FPR,MCC,PD,Depth,Time
BLOC-SCAD,4.942 (0.4091),3.946 (0.3168),0.168 (0.0143),0.662 (0.048),0.002 (0.002),0.631 (0.040),1.000 (0.000),0.448 (0.0040),35.3 (4.11)
BLOC-MCP,4.910 (0.4035),3.925 (0.3121),0.167 (0.0143),0.659 (0.046),0.002 (0.002),0.628 (0.039),1.000 (0.000),0.449 (0.0040),34.3 (3.88)
fmincon_active_set-SCAD,9.848 (0.0109),7.697 (0.0130),0.367 (0.0003),0.400 (0.163),0.338 (0.138),NaN (NaN),1.000 (0.000),0.390 (0.0009),0.1 (0.04)
fmincon_active_set-MCP,9.849 (0.0107),7.698 (0.0128),0.367 (0.0003),0.400 (0.163),0.338 (0.138),NaN (NaN),1.000 (0.000),0.390 (0.0009),0.1 (0.03)
fmincon_interior_point-SCAD,9.874 (0.0000),7.728 (0.0000),0.368 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.389 (0.0009),0.1 (0.00)
fmincon_interior_point-MCP,9.874 (0.0000),7.728 (0.0000),0.368 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.389 (0.0009),0.1 (0.00)
fmincon_SQP-SCAD,9.874 (0.0004),7.728 (0.0004),0.367 (0.0000),0.400 (0.163),0.338 (0.138),NaN (NaN),1.000 (0.000),0.389 (0.0009),0.1 (0.04)
fmincon_SQP-MCP,9.874 (0.0004),7.728 (0.0004),0.367 (0.0000),0.400 (0.163),0.338 (0.138),NaN (NaN),1.000 (0.000),0.389 (0.0009),0.1 (0.04)
Manopt_BB-SCAD,9.874 (0.0000),7.728 (0.0000),0.368 (0.0000),0.049 (0.049),0.054 (0.052),NaN (NaN),1.000 (0.000),0.389 (0.0009),30.0 (25.35)
Manopt_BB-MCP,9.874 (0.0000),7.728 (0.0000),0.368 (0.0000),0.109 (0.099),0.089 (0.084),NaN (NaN),1.000 (0.000),0.389 (0.0009),4.0 (2.51)
Manopt_CG-SCAD,9.882 (0.0158),7.720 (0.0064),0.370 (0.0015),0.744 (0.127),0.611 (0.108),NaN (NaN),1.000 (0.000),0.390 (0.0009),5.3 (1.74)
Manopt_CG-MCP,9.874 (0.0092),7.728 (0.0067),0.370 (0.0018),0.635 (0.142),0.551 (0.122),NaN (NaN),1.000 (0.000),0.390 (0.0009),4.2 (1.65)
Manopt_SD-SCAD,9.867 (0.0037),7.689 (0.0206),0.370 (0.0010),0.786 (0.131),0.669 (0.112),NaN (NaN),1.000 (0.000),0.390 (0.0008),2.5 (0.48)
Manopt_SD-MCP,9.873 (0.0153),7.544 (0.1500),0.374 (0.0034),0.885 (0.099),0.752 (0.084),NaN (NaN),1.000 (0.000),0.391 (0.0012),3.1 (0.57)
Manopt_TR-SCAD,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
Manopt_TR-MCP,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
